                    ;              ;Nº Requisição     ;       ;                        ;                      ;           ;                                                                                                    ;        ;   ;  ;            ;               ;             ;                            ;                     ;                                   ;                                   ;Data Status     ;                                   ;Data Status     ;Duração;(Dia);   Valor Unitário;     ;      Qtde;     ;      Valor Total;   Valor Unitário;     ;      Qtde;     ;      Valor Total;      Qtde;     ;   Estoque;   Estoque;   Consumo;   Consumo;         ;         ;         ;         ;                              ;Dígito   ;                          ;                            ;          ;Data da   ;Prazo de  ;          ;                           ;          ;       ;         ;          ;                      ;              ;              ;Volume ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
LSM254001H5         ;LSM254001H5   ;                  ;H5     ;DCN4-7569               ;DCN4-7569             ;002FK      ;LENCOL DE BORRACHA NITRILICA 70 SHORE 300MM                                                         ;        ;C  ;30;"""9320"""  ;"""190005336""";Praça local  ;Material                    ;11/09/2019 09:45     ;Cancelado                          ;Anulada                            ;18/12/2019 13:38;                                   ;                ;     98;   98;            44,19;R$   ;        20;MR   ;           883,80;            52,11;R$   ;        20;MR   ;          1042,14;          ;MR   ;         0;         0;         0;         0;J        ;70       ;N2       ;         ;                              ;C19743   ;                          ;                            ;PAMALS    ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Preço Excessivo                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
OWM249002AU         ;OWM249002AU   ;QWM197185AU       ;AU     ;DCN4-5430               ;DCN4-5430             ;AL080      ;SILICAGEL /BAR                                                                                      ;        ;C  ;30;"""9620"""  ;FA0536235      ;Praça local  ;Material                    ;06/09/2019 09:33     ;Concluído Parcialmente             ;Recebida no Solicitante            ;02/10/2019 10:36;Recebida no Solicitante            ;02/10/2019 10:36;     26;   26;           129,98;R$   ;        20;EA   ;          2599,60;            50,00;R$   ;        20;EA   ;          1000,00;          ;EA   ;         0;         0;         0;        20;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;1 GDAAE   ;          ;          ;10/10/2019;1-Entrega Imediata         ;          ;M000001;19E0842  ;F734$     ;                      ;              ;              ;       ;             ;                                 ;SILICA GEL, SILICATO DE SÓDIO E ACIDO SULFURICO, AZUL,  GRANULADO, DESUMIDIFICAR E DESIDRATAR GASES, INDICADOR DE UMIDADE ,2 A 5 MM(CATMAT 264576) REF - QWM197185AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Aplicação: Atender as necessidades administrativas do 1º GDAAE, Contato no setor:3s Thais ou 3s Anderson, Tel: 51 3462-5154, Subcentro de Custos: 13.04.00                                                                                                                                               ;    ;                              
CRM249030FC         ;CRM249030FC   ;CRL092004FC       ;FC     ;DCN4-9102               ;DCN4-9102             ;002FK      ;PE DE CABRA                                                                                         ;        ;C  ;30;"""5120"""  ;FA0046957      ;Praça local  ;Material                    ;06/09/2019 09:07     ;Concluído                          ;Recebida no Solicitante            ;03/08/2020 09:31;Recebida no Solicitante            ;03/08/2020 09:31;    332;  332;            95,01;R$   ;         5;EA   ;           475,05;            55,97;R$   ;         5;EA   ;           279,85;         5;EA   ;         0;         0;         5;         5;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;COMARA    ;          ;          ;16/10/2019;1-Entrega Imediata         ;          ;M000001;19E4295  ;DU50$     ;                      ;              ;              ;       ;             ;                                 ;ALAVANCA COM UNHA PÉ-DE-CABRA TAM. GRANDE (AÇO CROMO VANADIUM) REF - CRL092004FC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;APLICAÇÃO: COMARA - AQUISIÇÃO DE MATERIAL DE MÁQUINAS E EQUIPAMENTOS           PAG 67215.010263/2018-10 - PREGÃO 21/GAP-BE/2019 (120628) SUBCENTRO DE CUSTO 05.00.00                                                                                                                                     ;    ;                              
CSM247002R2         ;CSM247002R2   ;                  ;R2     ;DCN3-0001               ;DCN3-0001             ;002FK      ;LÂMPADA INCANDESCENTE                                                                               ;        ;C  ;30;"""6240"""  ;"""190021928""";CELOG        ;Material                    ;04/09/2019 09:33     ;Cancelado                          ;Anulada                            ;13/02/2020 11:04;                                   ;                ;    162;  162;            14,20;R$   ;       500;EA   ;          7100,00;            14,20;R$   ;        10;EA   ;           142,00;          ;EA   ;         0;         0;         0;         0;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;CELOG     ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Preço Excessivo                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
CSM247001R2         ;CSM247001R2   ;                  ;R2     ;DCN3-0001               ;DCN3-0001             ;002FK      ;LÂMPADA INCANDESCENTE                                                                               ;        ;C  ;30;"""6240"""  ;"""190021928""";CELOG        ;Material                    ;04/09/2019 09:19     ;Cancelado                          ;Anulada                            ;13/02/2020 11:04;                                   ;                ;    162;  162;            14,20;R$   ;        10;EA   ;           142,00;            14,20;R$   ;        10;EA   ;           142,00;          ;EA   ;         0;         0;         0;         0;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;CELOG     ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Preço Excessivo                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
"""30419000003184""";LSM242015A7   ;                  ;A7     ;DCN4-7790               ;DCN4-7790             ;002FK      ;GUARDA-PÓ DE VEDAÇÃO CONTRA POEIRA E UMIDADE                                                        ;        ;C  ;30;"""5340"""  ;"""190005556""";CAE          ;Material                    ;30/08/2019 18:45     ;Cancelado                          ;Cancelada                          ;13/09/2019 08:55;                                   ;                ;     14;   14;          7048,27;R$   ;         3;EA   ;         21144,80;          7048,27;R$   ;         3;EA   ;         21144,80;          ;EA   ;         0;         0;         0;         0;A        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Requisição Inserida Indevidamente;GUARDA-PÓ DE VEDAÇÃO CONTRA POEIRA E UMIDADE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;TPMTBCA: Atende emergência IPLR 712190001950 ANV A7 Matr.AE: 2345 3 ETA  e ANCE 712190001951 ANV A7 Matr.AE: 2304  3 ETA.                                                                                                                                                                                ;    ;                              
"""30419000003170""";LSM241009A7   ;                  ;A7     ;DCN3-10092              ;DCN3-10092            ;002FK      ;PARAFUSO                                                                                            ;        ;C  ;30;"""5305"""  ;FA0693902      ;CAE          ;Material                    ;29/08/2019 11:21     ;Cancelado                          ;Cancelada                          ;04/03/2020 09:20;                                   ;                ;    188;  188;             7,58;R$   ;         8;EA   ;            60,64;             7,58;R$   ;         8;EA   ;            60,64;          ;EA   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Material não mais Necessário     ;PARAFUSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;TPMTBCA: ATD ANCE 704190001768 ANV 2291.                                                                                                                                                                                                                                                                 ;    ;                              
QUM228014IU         ;QUM228014IU   ;QUM112015IU       ;AU     ;DCN3-6816               ;DCN3-6816             ;AB381      ;PLACA                                                                                               ;        ;C  ;30;"""6620"""  ;FA0328337      ;Praça local  ;Material                    ;16/08/2019 10:24     ;Concluído                          ;Recebida no Solicitante            ;14/01/2020 16:28;Recebida no Solicitante            ;14/01/2020 16:28;    151;  151;            40,00;R$   ;         6;EA   ;           240,00;            39,00;R$   ;         6;EA   ;           234,00;         6;EA   ;         0;         0;       563;       673;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;GAP-BV    ;          ;          ;15/09/2019;1-Entrega Imediata         ;          ;M000001;19E0793  ;CL08$     ;                      ;              ;              ;       ;             ;                                 ;BARRA METAL FERROSO, MATERIAL:FERRO, FORMATO SEÇÃO:CHATO, COMPRIMENTO:6 M, LARGURA:1 POL, ESPESSURA:1/4 POL REF - QUM112015IU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Acolhida. SC: 11.33.00                                                                                                                                                                                                                                                                                   ;    ;                              
"""38119000003449""";SPN023023A7   ;                  ;A7     ;DCN4-6870               ;DCN4-6870             ;002FK      ;REBITE                                                                                              ;        ;C  ;30;"""5320"""  ;"""190005430""";CAE          ;Material                    ;23/01/2020 10:07     ;Autorizado                         ;Validada                           ;23/01/2020 10:07;                                   ;                ;      0;  431;             1,90;R$   ;     10000;EA   ;         18950,00;             1,90;R$   ;     10000;EA   ;         18950,00;          ;EA   ;         0;         0;         0;         0;G        ;10       ;E3       ;         ;                              ;         ;                          ;                            ;PAMASP    ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;DELIVERY MUST NOT EXCEED 60 DAYS.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;ATD PNOR TOFI (S4X). pesquisar                                                                                                                                                                                                                                                                           ;    ;                              
STM225046AU         ;STM225046AU   ;STL179605AU       ;AU     ;DCN4-9096               ;DCN4-9096             ;002FK      ;ALICATE                                                                                             ;        ;C  ;30;"""5120"""  ;"""190010845""";Praça local  ;Material                    ;13/08/2019 11:07     ;Concluído Parcialmente             ;Recebida no Solicitante            ;31/10/2019 17:30;Recebida no Solicitante            ;31/10/2019 17:30;     79;   79;            60,10;R$   ;         5;EA   ;           300,50;            58,29;R$   ;         5;EA   ;           291,45;          ;EA   ;         0;         0;         7;        17;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;ALA 7     ;          ;          ;14/09/2019;1-Entrega Imediata         ;          ;M000001;19E0752  ;AAG9$     ;                      ;              ;              ;       ;             ;                                 ;ALICATE BICO 8POL MEIA CANA LONGO RETO 42.363.09 CRV CORNETA REF - STL179605AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;APLICAÇÃO: ELOG - SC: 11.30.00                                                                                                                                                                                                                                                                           ;    ;                              
STM225013AU         ;STM225013AU   ;STL179404AU       ;AU     ;DCN4-5304               ;DCN4-5304             ;000KK      ;ESPONJA, LAVAGEM                                                                                    ;        ;C  ;30;"""7920"""  ;FA0559344      ;Praça local  ;Material                    ;13/08/2019 10:11     ;Concluído Parcialmente             ;Recebida no Solicitante            ;15/01/2020 11:12;Recebida no Solicitante            ;15/01/2020 11:12;    155;  155;            16,77;R$   ;         5;EA   ;            83,85;            16,77;R$   ;         5;EA   ;            83,85;          ;EA   ;         0;         0;        12;       328;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;ALA 7     ;          ;          ;14/09/2019;1-Entrega Imediata         ;          ;M000001;19E0750  ;EN71$     ;                      ;              ;              ;       ;             ;                                 ;ESPONJA ABRASIVA SCOTCH BRITE AF ÓXIDO DE ALUMÍNIO, COR MARROM, 225MM X 275MM. REF. 3M REF - STL179404AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;APLICAÇÃO: ELOG - SC: 11.30.00                                                                                                                                                                                                                                                                           ;    ;                              
LSM220001A7         ;LSM220001A7   ;                  ;A7     ;DCN1-2279               ;DCN1-2279             ;002FK      ;FITA DE FREQ                                                                                        ;        ;C  ;30;"""5826"""  ;FA0328198      ;Praça local  ;Material                    ;08/08/2019 14:22     ;Cancelado                          ;Anulada                            ;11/02/2020 09:18;                                   ;                ;    187;  187;             0,00;R$   ;        35;EA   ;             0,00;             0,00;R$   ;        35;EA   ;             0,00;          ;EA   ;        10;        33;         0;         0;J        ;70       ;N2       ;         ;                              ;C19229   ;                          ;                            ;PAMALS    ;          ;          ;          ;1-Entrega Imediata         ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Preço Excessivo                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
TLM220022AU         ;TLM220022AU   ;TLL270051AU       ;AU     ;DCN3-8896               ;DCN3-8896             ;001TK      ;PNEU                                                                                                ;        ;C  ;30;"""2610"""  ;FA0110808      ;Praça local  ;Material                    ;08/08/2019 10:44     ;Concluído                          ;Recebida no Solicitante            ;01/10/2019 14:22;Recebida no Solicitante            ;01/10/2019 14:22;     54;   54;          3645,00;R$   ;        12;EA   ;         43740,00;          1820,00;R$   ;        12;EA   ;         21840,00;        12;EA   ;         0;         0;         0;        12;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;CTLA      ;          ;          ;11/09/2019;5-Prazo de Entrega 180 dias;          ;M000001;19E2291  ;B724$     ;                      ;              ;              ;       ;             ;                                 ;PNEU MACIÇO PARA EMPILHADEIRA COM DIMENSÕES 825 X 15, SEM CÂMARA, BANDA RODAGEM DE BORRACHA DE ALTA RESISTÊNCIA. NOVO.  REF - TLL270051AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;empenho já emitido no siafi (2019NE801518)                                                                                                                                                                                                                                                               ;    ;                              
"""30419000002994""";LSM210022A7   ;                  ;A7     ;DCN3-6909               ;DCN3-6909             ;002FK      ;NUT,SELF-LOCKING,HEXAGON                                                                            ;        ;C  ;30;"""5310"""  ;"""190050242""";Praça local  ;Material                    ;29/07/2019 11:14     ;Autorizado                         ;Empenho Aprovado                   ;29/10/2020 15:20;                                   ;                ;    458;  609;            23,17;R$   ;        68;EA   ;          1575,70;            84,56;R$   ;        68;EA   ;          5750,08;          ;EA   ;         0;         0;         0;         1;J        ;70       ;E3       ;SIM      ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;28/11/2020;3-Prazo de Entrega 60 dias ;          ;M000001;20E9841  ;001CK     ;                      ;              ;              ;       ;             ;                                 ;NUT,PLAIN,EXTENDED WASHER,HEXAGON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;TPMTBCA: ATENDE GERENCIA DO PROJETO A7 E INSPEÇÕES PREVISTAS.                                                                                                                                                                                                                                            ;    ;                              
